,ID,tesi,Length,type,shoot,node,c,v,m,cl,nu,b,node.1,c.1,v.1,m.1,cluster,nuts,b.1,numoss,node.2,c.2,v.2,m.2,cluster.1,nuts.1,b.2,numoss,node.3,c.3,v.3,m.3,cluster.2,nuts.2,b.3,numoss,node.4,c.4,v.4,m.4,cluster.3,nuts.3,b.4,numoss,node.5,c.5,v.5,m.5,cluster.4,nuts.4,b.5,numoss,node.6,c.6,v.6,m.6,cluster.5,nuts.5,b.6,numoss,node.7,c.7,v.7,m.7,cluster.6,nuts.6,b.7,numoss,node.8,c.8,v.8,m.8,cluster.7,nuts.7,b.8,numoss,node.9,c.9,v.9,m.9,cluster.8,nuts.8,b.9,numoss,node.10,c.10,v.10,m.10,cluster.9,nuts.9,b.10,numoss,node.11,c.11,v.11,m.11,cluster.10,nuts.10,b.11,numoss,node.12,c.12,v.12,m.12,cluster.11,nuts.11,b.12,numoss,node.13,c.13,v.13,m.13,cluster.12,nuts.12,b.13,numoss,node.14,c.14,v.14,m.14,cluster.13,nuts.13,b.14,numoss,node.15,c.15,v.15,m.15,cluster.14,nuts.14,b.15,numoss,node.16,c.16,v.16,m.16,cluster.15,nuts.15,b.16,numoss,node.17,c.17,v.17,m.17,cluster.16,nuts.16,b.17,numoss,node.18,c.18,v.18,m.18,cluster.17,nuts.17,b.18,numoss,node.19,c.19,v.19,m.19,cluster.18,nuts.18,b.19,numoss,node.20,c.20,v.20,m.20,cluster.19,nuts.19,b.20,numoss,node.21,c.21,v.21,m.21,cluster.20,nuts.20,b.21,numoss,node.22,c.22,v.22,m.22,cluster.21,nuts.21,b.22,numoss,node.23,c.23,v.23,m.23,cluster.22,nuts.22,b.23,numoss,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,171,AUTOR,4.5,Sh,51,3,2,1,0,0,0,2,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,3,2,1,0,0,0,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,172,AUTOR,2,Sh,52,2,0,1,1,0,0,0,1,0,1,0,0,0,0,1,2,0,0,1,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,173,AUTOR,54,VLo,53,15,6,0,11,10,36,4,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,4,0,0,0,0,0,1,1,5,0,0,1,0,0,0,1,6,6,0,1,1,1,0,2,7,0,0,1,1,3,0,1,8,0,0,1,1,4,0,1,9,0,0,1,1,3,0,1,10,0,0,1,1,3,0,1,11,0,0,1,1,4,0,1,12,0,0,1,1,5,0,1,13,0,0,1,1,4,0,1,14,0,0,1,1,5,0,1,15,0,0,1,1,4,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,174,AUTOR,8.5,Me,54,7,6,4,6,2,6,2,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,3,0,0,1,1,3,0,1,4,0,0,0,0,0,1,1,5,3,2,2,1,3,0,5,6,3,0,3,0,0,0,4,7,0,1,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,175,AUTOR,6,Me,55,5,0,3,2,1,3,0,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,3,0,1,0,0,0,0,1,4,0,0,1,1,3,0,1,5,0,0,1,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,176,AUTOR,10.2,Me,56,8,6,5,6,2,5,2,1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,1,3,0,0,0,0,0,1,1,4,0,1,1,1,2,0,2,5,3,2,1,1,3,0,4,6,3,0,2,0,0,0,3,7,0,0,2,0,0,0,2,8,0,1,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,177,AUTOR,12,Me,57,6,4,2,6,2,6,3,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,4,0,0,1,0,0,0,1,5,3,2,3,1,2,0,6,6,1,0,2,1,4,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,178,AUTOR,2,Sh,58,3,2,1,1,1,1,1,1,0,0,0,0,0,1,1,2,2,0,1,1,1,0,2,3,0,1,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,179,AUTOR,54,VLo,59,22,7,12,11,6,14,5,1,0,0,0,0,0,1,1,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,4,0,0,0,0,0,1,1,5,0,0,0,0,0,1,1,6,3,0,2,0,0,0,3,7,0,0,2,2,3,0,2,8,0,1,0,0,0,0,1,9,0,0,1,0,0,0,1,10,0,0,1,1,5,0,1,11,0,0,1,1,3,0,1,12,0,1,1,1,2,0,2,13,0,0,1,0,0,0,1,14,0,1,1,1,1,0,2,15,0,2,0,0,0,0,2,16,0,1,0,0,0,0,1,17,0,0,1,0,0,0,1,18,0,1,0,0,0,0,1,19,0,1,0,0,0,0,1,20,4,2,0,0,0,0,3,21,0,1,0,0,0,0,1,22,0,1,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,180,AUTOR,3,Sh,60,3,4,3,0,0,0,1,1,0,0,0,0,0,1,1,2,0,1,0,0,0,0,1,3,4,2,0,0,0,0,3,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,181,AUTOR,46,VLo,61,20,0,17,8,4,18,0,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,3,0,1,0,0,0,0,1,4,0,1,0,0,0,0,1,5,0,1,0,0,0,0,1,6,0,1,0,0,0,0,1,7,0,1,0,0,0,0,1,8,0,1,0,0,0,0,1,9,0,1,1,1,4,0,2,10,0,1,0,0,0,0,1,11,0,1,1,1,5,0,2,12,0,0,1,0,0,0,1,13,0,1,1,1,5,0,2,14,0,0,1,0,0,0,1,15,0,1,1,1,4,0,2,16,0,0,1,0,0,0,1,17,0,1,0,0,0,0,1,18,0,0,1,0,0,0,1,19,0,1,0,0,0,0,1,20,0,2,0,0,0,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,182,AUTOR,9,Me,62,8,2,3,4,1,6,1,1,0,0,1,0,0,0,1,2,0,1,0,0,0,0,1,3,0,0,0,0,0,1,1,4,0,0,1,1,6,0,1,5,2,1,0,0,0,0,2,6,0,0,1,0,0,0,1,7,0,0,1,0,0,0,1,8,0,1,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,183,AUTOR,4.8,Sh,63,3,5,1,3,2,3,0,1,1,0,0,0,0,0,1,2,0,1,0,0,0,0,1,3,4,0,3,2,3,0,4,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,184,AUTOR,28,Lo,64,16,14,11,7,3,5,3,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,4,0,1,0,0,0,0,1,5,2,3,0,0,0,0,4,6,2,0,3,1,1,0,4,7,3,3,0,0,0,0,4,8,3,1,0,0,0,0,2,9,0,0,1,1,2,0,1,10,0,0,0,0,0,1,1,11,0,0,1,1,2,0,1,12,0,0,1,0,0,0,1,13,0,0,1,0,0,0,1,14,0,1,0,0,0,0,1,15,0,1,0,0,0,0,1,16,4,0,0,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,185,AUTOR,10,Me,65,6,8,0,9,0,0,3,1,0,0,1,0,0,0,1,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,4,0,0,0,0,0,1,1,5,4,0,3,0,0,0,4,6,4,0,5,0,0,0,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,186,AUTOR,58,VLo,66,19,1,6,12,10,41,5,1,0,1,0,0,0,0,1,2,0,1,0,0,0,0,1,3,0,0,0,0,0,1,1,4,0,0,0,0,0,1,1,5,0,0,0,0,0,1,1,6,0,0,0,0,0,1,1,7,1,2,2,0,0,0,5,8,0,0,1,1,2,0,1,9,0,0,1,1,4,0,1,10,0,0,0,0,0,1,1,11,0,0,1,1,5,0,1,12,0,0,1,1,5,0,1,13,0,0,1,1,4,0,1,14,0,0,1,1,4,0,1,15,0,0,1,1,4,0,1,16,0,0,1,1,3,0,1,17,0,0,1,1,5,0,1,18,0,0,1,1,5,0,1,19,0,2,0,0,0,0,2,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,187,AUTOR,26.5,Lo,67,12,10,7,8,6,19,2,1,0,1,0,0,0,0,1,2,0,0,0,0,0,1,1,3,0,0,0,0,0,1,1,4,2,3,0,0,0,0,4,5,4,1,2,1,3,0,4,6,0,0,1,1,3,0,1,7,0,0,1,1,2,0,1,8,0,0,1,1,5,0,1,9,0,0,1,1,3,0,1,10,0,0,1,1,3,0,1,11,4,2,0,0,0,0,3,12,0,0,1,0,0,0,1,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
