year,thesis,length,shoot1yo,length1yo,rank1yo,c,v,m,b,#oss,#newshoots
2020,AUTOR,VLo,1,42,1,0,1,0,0,1,0
2020,AUTOR,VLo,1,42,2,0,0,0,1,1,0
2020,AUTOR,VLo,1,42,3,0,1,0,0,1,1
2020,AUTOR,VLo,1,42,4,3,0,2,0,3,1
2020,AUTOR,VLo,1,42,5,5,1,0,0,2,1
2020,AUTOR,VLo,1,42,6,4,0,3,0,4,2
2020,AUTOR,VLo,1,42,7,4,1,1,0,3,2
2020,AUTOR,VLo,1,42,8,0,0,1,0,1,1
2020,AUTOR,VLo,1,42,9,0,0,1,0,1,1
2020,AUTOR,VLo,1,42,10,0,0,1,0,1,1
2020,AUTOR,VLo,1,42,11,0,0,1,0,1,1
2020,AUTOR,VLo,1,42,12,0,1,0,0,1,1
2020,AUTOR,VLo,1,42,13,0,2,1,0,3,2
2020,AUTOR,Lo,2,40,1,0,1,0,0,1,1
2020,AUTOR,Lo,2,40,2,0,0,1,0,1,1
2020,AUTOR,Lo,2,40,3,0,1,0,0,1,1
2020,AUTOR,Lo,2,40,4,0,3,0,0,3,1
2020,AUTOR,Lo,2,40,5,3,1,2,0,4,1
2020,AUTOR,Lo,2,40,6,0,1,0,0,1,2
2020,AUTOR,Lo,2,40,7,4,3,2,0,6,1
2020,AUTOR,Lo,2,40,8,0,0,1,0,1,1
2020,AUTOR,Lo,2,40,9,5,1,0,0,2,1
2020,AUTOR,Lo,2,40,10,0,0,1,0,1,1
2020,AUTOR,Lo,2,40,11,2,2,0,0,3,1
2020,AUTOR,Lo,2,40,12,0,0,1,0,1,1
2020,AUTOR,Lo,2,40,13,0,0,1,0,1,1
2020,AUTOR,Lo,2,40,14,0,0,1,0,1,1
2020,AUTOR,Me,3,9,1,0,1,0,0,1,0
2020,AUTOR,Me,3,9,2,0,1,0,0,1,0
2020,AUTOR,Me,3,9,3,0,1,0,0,1,0
2020,AUTOR,Me,3,9,4,0,0,1,0,1,1
2020,AUTOR,Me,3,9,5,0,0,1,0,1,1
2020,AUTOR,Me,3,9,6,0,2,1,0,3,2
2020,AUTOR,VLo,4,48,1,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,2,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,3,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,4,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,5,0,0,1,0,1,1
2020,AUTOR,VLo,4,48,6,0,0,1,0,1,1
2020,AUTOR,VLo,4,48,7,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,8,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,9,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,10,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,11,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,12,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,13,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,14,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,15,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,16,0,1,0,0,1,1
2020,AUTOR,VLo,4,48,17,0,3,0,0,3,3
2020,AUTOR,VLo,5,41,1,0,1,0,0,1,0
2020,AUTOR,VLo,5,41,2,0,1,0,0,1,0
2020,AUTOR,VLo,5,41,3,0,2,0,0,2,2
2020,AUTOR,VLo,5,41,4,0,0,1,0,1,1
2020,AUTOR,VLo,5,41,5,4,2,1,0,4,2
2020,AUTOR,VLo,5,41,6,0,0,1,0,1,1
2020,AUTOR,VLo,5,41,7,4,3,2,0,6,2
2020,AUTOR,VLo,5,41,8,4,0,1,0,2,2
2020,AUTOR,VLo,5,41,9,0,1,1,0,2,1
2020,AUTOR,VLo,5,41,10,0,1,1,0,2,1
2020,AUTOR,VLo,5,41,11,0,0,1,0,1,1
2020,AUTOR,VLo,5,41,12,0,0,1,0,1,1
2020,AUTOR,VLo,5,41,13,4,3,0,0,4,2
2020,AUTOR,VLo,5,41,14,0,0,1,0,1,1
2020,AUTOR,VLo,5,41,15,0,2,0,0,2,2
2020,AUTOR,VLo,5,41,16,5,0,1,0,2,1
2020,AUTOR,Me,6,14,1,0,1,0,0,1,1
2020,AUTOR,Me,6,14,2,0,0,0,1,1,0
2020,AUTOR,Me,6,14,3,5,2,0,0,3,1
2020,AUTOR,Me,6,14,4,3,0,2,0,3,2
2020,AUTOR,Me,6,14,5,0,0,1,0,1,1
2020,AUTOR,Me,6,14,6,3,1,1,0,3,2
2020,AUTOR,VLo,7,43,1,0,0,1,0,1,1
2020,AUTOR,VLo,7,43,2,0,0,0,1,1,1
2020,AUTOR,VLo,7,43,3,0,2,0,0,2,1
2020,AUTOR,VLo,7,43,4,7,0,0,0,1,1
2020,AUTOR,VLo,7,43,5,4,0,3,0,4,2
2020,AUTOR,VLo,7,43,6,0,1,1,0,2,1
2020,AUTOR,VLo,7,43,7,5,2,0,0,3,1
2020,AUTOR,VLo,7,43,8,5,1,1,0,3,2
2020,AUTOR,VLo,7,43,9,0,0,1,0,1,0
2020,AUTOR,VLo,7,43,10,0,0,1,0,1,1
2020,AUTOR,VLo,7,43,11,0,0,1,0,1,1
2020,AUTOR,VLo,7,43,12,0,0,1,0,1,1
2020,AUTOR,VLo,7,43,13,0,1,0,0,1,1
2020,AUTOR,VLo,7,43,14,0,3,0,0,3,3
2020,AUTOR,Sh,8,3,1,0,1,0,0,1,
2020,AUTOR,Sh,8,3,2,0,0,1,0,1,
2020,AUTOR,Sh,8,3,3,2,3,0,0,4,
2020,AUTOR,Lo,9,30,1,0,1,0,0,1,0
2020,AUTOR,Lo,9,30,2,0,1,0,0,1,1
2020,AUTOR,Lo,9,30,3,0,0,1,0,1,1
2020,AUTOR,Lo,9,30,4,0,0,1,0,1,1
2020,AUTOR,Lo,9,30,5,4,2,1,0,4,1
2020,AUTOR,Lo,9,30,6,4,1,1,0,3,2
2020,AUTOR,Lo,9,30,7,0,1,0,0,1,1
2020,AUTOR,Lo,9,30,8,0,1,1,0,2,1
2020,AUTOR,Lo,9,30,9,0,0,1,0,1,1
2020,AUTOR,Lo,9,30,10,0,0,1,0,1,1
2020,AUTOR,Lo,9,30,11,0,0,1,0,1,1
2020,AUTOR,Lo,9,30,12,0,1,0,0,1,1
2020,AUTOR,Lo,9,30,13,0,1,0,0,1,1
2020,AUTOR,Lo,9,30,14,5,1,0,0,2,1
2020,AUTOR,VLo,10,57,1,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,2,0,1,0,0,1,1
2020,AUTOR,VLo,10,57,3,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,4,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,5,0,4,5,0,9,3
2020,AUTOR,VLo,10,57,6,0,1,0,0,1,1
2020,AUTOR,VLo,10,57,7,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,8,0,0,1,0,1,0
2020,AUTOR,VLo,10,57,9,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,10,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,11,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,12,0,1,0,0,1,1
2020,AUTOR,VLo,10,57,13,0,0,1,0,1,1
2020,AUTOR,VLo,10,57,14,0,0,1,0,1,1
2020,AUTOR,Sh,11,2.31,1,0,1,0,0,1,1
2020,AUTOR,Sh,11,2.31,2,4,2,0,0,3,1
2020,AUTOR,VLo,12,48,1,0,1,0,0,1,1
2020,AUTOR,VLo,12,48,2,0,1,0,0,1,1
2020,AUTOR,VLo,12,48,3,0,1,1,0,2,1
2020,AUTOR,VLo,12,48,4,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,5,3,4,1,0,6,2
2020,AUTOR,VLo,12,48,6,4,0,3,0,4,1
2020,AUTOR,VLo,12,48,7,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,8,5,1,1,0,3,2
2020,AUTOR,VLo,12,48,9,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,10,0,1,0,0,1,1
2020,AUTOR,VLo,12,48,11,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,12,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,13,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,14,0,0,1,0,1,1
2020,AUTOR,VLo,12,48,15,0,2,1,0,3,1
2020,AUTOR,Lo,13,37.5,1,0,1,0,0,1,0
2020,AUTOR,Lo,13,37.5,2,4,1,3,0,5,1
2020,AUTOR,Lo,13,37.5,3,0,0,1,0,1,2
2020,AUTOR,Lo,13,37.5,4,0,0,1,0,1,1
2020,AUTOR,Lo,13,37.5,5,0,0,1,0,1,1
2020,AUTOR,Lo,13,37.5,6,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,7,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,8,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,9,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,10,0,0,1,0,1,1
2020,AUTOR,Lo,13,37.5,11,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,12,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,13,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,14,0,1,0,0,1,1
2020,AUTOR,Lo,13,37.5,15,0,1,0,0,1,1
2020,AUTOR,VLo,14,45.4,1,0,1,0,0,1,0
2020,AUTOR,VLo,14,45.4,2,0,0,1,0,1,1
2020,AUTOR,VLo,14,45.4,3,0,1,0,0,1,0
2020,AUTOR,VLo,14,45.4,4,4,1,3,0,5,2
2020,AUTOR,VLo,14,45.4,5,0,0,1,0,1,1
2020,AUTOR,VLo,14,45.4,6,0,0,1,0,1,1
2020,AUTOR,VLo,14,45.4,7,0,0,1,0,1,1
2020,AUTOR,VLo,14,45.4,8,0,0,1,0,1,1
2020,AUTOR,VLo,14,45.4,9,0,0,1,0,1,1
2020,AUTOR,VLo,14,45.4,10,0,0,1,0,1,1
2020,AUTOR,VLo,14,45.4,11,0,0,1,0,1,1
2020,AUTOR,VLo,14,45.4,12,0,0,1,0,1,1
2020,AUTOR,VLo,14,45.4,13,0,0,1,0,1,1
2020,AUTOR,VLo,14,45.4,14,0,1,0,0,1,1
2020,AUTOR,VLo,14,45.4,15,0,1,0,0,1,1
2020,AUTOR,VLo,14,45.4,16,0,1,0,0,1,1
2020,AUTOR,VLo,14,45.4,17,0,2,0,0,2,1
2020,AUTOR,VLo,15,44,1,0,1,0,0,1,0
2020,AUTOR,VLo,15,44,2,0,1,0,0,1,1
2020,AUTOR,VLo,15,44,3,0,1,0,0,1,1
2020,AUTOR,VLo,15,44,4,0,1,1,0,2,2
2020,AUTOR,VLo,15,44,5,2,0,4,0,5,2
2020,AUTOR,VLo,15,44,6,2,1,2,0,4,2
2020,AUTOR,VLo,15,44,7,0,0,1,0,1,1
2020,AUTOR,VLo,15,44,8,5,2,1,0,4,2
2020,AUTOR,VLo,15,44,9,0,0,1,0,1,1
2020,AUTOR,VLo,15,44,10,0,0,1,0,1,1
2020,AUTOR,VLo,15,44,11,0,0,1,0,1,1
2020,AUTOR,VLo,15,44,12,0,0,1,0,1,1
2020,AUTOR,VLo,15,44,13,0,0,1,0,1,1
2020,AUTOR,VLo,15,44,14,0,1,0,0,1,1
2020,AUTOR,VLo,15,44,15,0,1,0,0,1,1
2020,AUTOR,VLo,15,44,16,0,2,0,0,2,1
2020,AUTOR,Lo,16,33,1,0,0,0,1,1,1
2020,AUTOR,Lo,16,33,2,0,0,0,1,1,1
2020,AUTOR,Lo,16,33,3,0,1,0,0,1,1
2020,AUTOR,Lo,16,33,4,0,1,0,0,1,1
2020,AUTOR,Lo,16,33,5,0,1,0,0,1,3
2020,AUTOR,Lo,16,33,6,0,0,1,0,1,2
2020,AUTOR,Lo,16,33,7,4,0,5,0,6,1
2020,AUTOR,Lo,16,33,8,3,2,0,0,3,2
2020,AUTOR,Lo,16,33,9,5,2,0,0,3,1
2020,AUTOR,Lo,16,33,10,1,2,0,0,3,1
2020,AUTOR,Lo,16,33,11,5,2,0,0,3,2
2020,AUTOR,Lo,16,33,12,0,0,1,0,1,1
2020,AUTOR,Lo,16,33,13,5,1,0,0,2,1
2020,AUTOR,Lo,16,33,14,5,1,0,0,2,1
2020,AUTOR,Lo,17,21,1,0,1,0,0,1,0
2020,AUTOR,Lo,17,21,2,0,1,0,0,1,1
2020,AUTOR,Lo,17,21,3,0,0,1,0,1,1
2020,AUTOR,Lo,17,21,4,0,0,2,0,2,1
2020,AUTOR,Lo,17,21,5,1,1,2,0,4,2
2020,AUTOR,Lo,17,21,6,0,0,1,0,1,1
2020,AUTOR,Lo,17,21,7,2,1,0,0,2,2
2020,AUTOR,Lo,17,21,8,0,0,1,0,1,1
2020,AUTOR,Me,18,8.5,1,0,0,1,0,1,1
2020,AUTOR,Me,18,8.5,2,0,0,1,0,1,1
2020,AUTOR,Me,18,8.5,3,0,1,0,0,1,1
2020,AUTOR,Me,18,8.5,4,4,3,0,0,4,1
2020,AUTOR,Me,18,8.5,5,3,0,3,0,4,1
2020,AUTOR,Lo,19,38,1,0,1,0,0,1,1
2020,AUTOR,Lo,19,38,2,0,0,0,1,1,0
2020,AUTOR,Lo,19,38,3,0,0,0,1,1,0
2020,AUTOR,Lo,19,38,4,0,0,1,0,1,1
2020,AUTOR,Lo,19,38,5,4,2,1,0,4,2
2020,AUTOR,Lo,19,38,6,0,0,4,0,4,2
2020,AUTOR,Lo,19,38,7,0,1,0,0,1,1
2020,AUTOR,Lo,19,38,8,4,3,0,0,4,1
2020,AUTOR,Lo,19,38,9,0,0,1,0,1,1
2020,AUTOR,Lo,19,38,10,3,1,1,0,3,2
2020,AUTOR,Lo,19,38,11,0,0,1,0,1,1
2020,AUTOR,Lo,19,38,12,0,0,1,0,1,1
2020,AUTOR,Lo,19,38,13,0,0,1,0,1,1
2020,AUTOR,Lo,19,38,14,0,0,1,0,1,1
2020,AUTOR,Lo,19,38,15,0,2,0,0,2,1
2020,AUTOR,Lo,20,38,1,0,1,0,0,1,1
2020,AUTOR,Lo,20,38,2,0,1,0,0,1,1
2020,AUTOR,Lo,20,38,3,0,1,0,0,1,1
2020,AUTOR,Lo,20,38,4,0,0,1,0,1,1
2020,AUTOR,Lo,20,38,5,0,0,1,0,1,1
2020,AUTOR,Lo,20,38,6,0,0,1,0,2,0
2020,AUTOR,Lo,20,38,7,0,0,1,0,1,1
2020,AUTOR,Lo,20,38,8,0,0,1,0,2,0
2020,AUTOR,Lo,20,38,9,0,0,1,0,1,1
2020,AUTOR,Lo,20,38,10,0,0,1,0,1,1
2020,AUTOR,Lo,20,38,11,0,0,1,0,1,1
2020,AUTOR,Lo,20,38,12,0,0,1,0,1,1
2020,AUTOR,Lo,20,38,13,0,0,1,0,1,1
2020,AUTOR,Lo,20,38,14,0,1,0,0,1,1
2020,AUTOR,Me,21,11.8,1,0,0,0,1,1,0
2020,AUTOR,Me,21,11.8,2,0,1,0,0,1,0
2020,AUTOR,Me,21,11.8,3,0,0,0,1,1,0
2020,AUTOR,Me,21,11.8,4,4,3,0,0,4,1
2020,AUTOR,Me,21,11.8,5,3,1,1,0,3,2
2020,AUTOR,Me,21,11.8,6,0,0,1,0,1,1
2020,AUTOR,Sh,22,2.5,1,0,1,0,0,1,0
2020,AUTOR,Sh,22,2.5,2,1,0,0,0,1,1
2020,AUTOR,Sh,22,2.5,3,1,0,0,0,1,1
2020,AUTOR,Lo,23,39,1,0,1,0,0,1,1
2020,AUTOR,Lo,23,39,2,0,0,1,0,1,1
2020,AUTOR,Lo,23,39,3,0,0,1,0,1,1
2020,AUTOR,Lo,23,39,4,0,1,1,0,2,1
2020,AUTOR,Lo,23,39,5,4,5,0,0,6,1
2020,AUTOR,Lo,23,39,6,0,0,1,0,1,1
2020,AUTOR,Lo,23,39,7,0,0,1,0,1,1
2020,AUTOR,Lo,23,39,8,0,0,1,0,1,1
2020,AUTOR,Lo,23,39,9,0,1,0,0,1,1
2020,AUTOR,Lo,23,39,10,0,0,1,0,1,1
2020,AUTOR,Lo,23,39,11,0,0,1,0,1,1
2020,AUTOR,Lo,23,39,12,0,1,0,0,1,1
2020,AUTOR,Lo,23,39,13,0,0,1,0,1,1
2020,AUTOR,Lo,23,39,14,0,1,0,0,1,1
2020,AUTOR,Sh,24,1.5,1,0,1,0,0,1,1
2020,AUTOR,Sh,24,1.5,2,0,1,0,0,1,1
2020,AUTOR,Sh,24,1.5,3,0,0,1,0,1,1
2020,AUTOR,VLo,25,41.5,1,0,0,1,0,1,1
2020,AUTOR,VLo,25,41.5,2,0,0,1,0,1,1
2020,AUTOR,VLo,25,41.5,3,3,0,3,0,4,1
2020,AUTOR,VLo,25,41.5,4,0,0,1,0,1,1
2020,AUTOR,VLo,25,41.5,5,0,0,1,0,1,1
2020,AUTOR,VLo,25,41.5,6,0,0,1,0,1,1
2020,AUTOR,VLo,25,41.5,7,0,0,1,0,1,1
2020,AUTOR,VLo,25,41.5,8,0,1,1,0,2,1
2020,AUTOR,VLo,25,41.5,9,0,0,1,0,1,1
2020,AUTOR,VLo,25,41.5,10,0,0,1,0,1,1
2020,AUTOR,VLo,25,41.5,11,0,1,0,0,1,1
2020,AUTOR,VLo,25,41.5,12,0,1,0,0,1,1
2020,AUTOR,VLo,25,41.5,13,0,1,0,0,1,1
2020,AUTOR,VLo,25,41.5,14,0,2,0,0,2,1
2020,AUTOR,Sh,26,4,1,0,1,0,0,1,0
2020,AUTOR,Sh,26,4,2,0,0,1,0,1,1
2020,AUTOR,Sh,26,4,3,0,2,1,0,3,1
2020,AUTOR,Sh,26,4,4,0,0,2,0,2,1
2020,AUTOR,Sh,26,4,5,2,1,1,0,3,1
2020,AUTOR,Lo,27,29.8,1,0,0,1,0,1,1
2020,AUTOR,Lo,27,29.8,2,1,2,0,0,3,2
2020,AUTOR,Lo,27,29.8,3,1,0,2,0,3,1
2020,AUTOR,Lo,27,29.8,4,0,1,3,0,4,1
2020,AUTOR,Lo,27,29.8,5,0,0,1,0,1,1
2020,AUTOR,Lo,27,29.8,6,4,1,1,0,3,2
2020,AUTOR,Lo,27,29.8,7,4,0,1,0,2,1
2020,AUTOR,Lo,27,29.8,8,5,1,0,0,2,1
2020,AUTOR,Lo,27,29.8,9,0,1,0,0,1,1
2020,AUTOR,Lo,27,29.8,10,0,1,0,0,1,1
2020,AUTOR,Sh,28,4.2,1,0,0,0,1,1,0
2020,AUTOR,Sh,28,4.2,2,0,1,0,0,1,1
2020,AUTOR,Sh,28,4.2,3,0,1,0,0,1,1
2020,AUTOR,Sh,28,4.2,4,0,1,0,0,1,1
2020,AUTOR,Lo,29,35,1,0,1,0,0,1,1
2020,AUTOR,Lo,29,35,2,1,0,1,0,2,0
2020,AUTOR,Lo,29,35,3,1,1,1,0,3,1
2020,AUTOR,Lo,29,35,4,0,0,1,0,1,1
2020,AUTOR,Lo,29,35,5,3,1,2,0,4,2
2020,AUTOR,Lo,29,35,6,7,0,1,0,2,1
2020,AUTOR,Lo,29,35,7,4,3,0,0,4,2
2020,AUTOR,Lo,29,35,8,4,1,1,0,3,2
2020,AUTOR,Lo,29,35,9,4,2,1,0,4,2
2020,AUTOR,Lo,29,35,10,4,1,0,0,2,1
2020,AUTOR,Lo,29,35,11,0,0,1,0,1,1
2020,AUTOR,Lo,29,35,12,1,3,0,0,4,1
2020,AUTOR,VLo,30,49.6,1,0,1,0,0,1,0
2020,AUTOR,VLo,30,49.6,2,0,0,0,1,1,0
2020,AUTOR,VLo,30,49.6,3,0,0,1,0,1,1
2020,AUTOR,VLo,30,49.6,4,7,0,0,0,1,1
2020,AUTOR,VLo,30,49.6,5,4,2,3,0,6,2
2020,AUTOR,VLo,30,49.6,6,0,1,0,0,1,1
2020,AUTOR,VLo,30,49.6,7,0,0,1,0,1,1
2020,AUTOR,VLo,30,49.6,8,0,0,1,0,1,1
2020,AUTOR,VLo,30,49.6,9,0,0,1,0,1,1
2020,AUTOR,VLo,30,49.6,10,0,0,1,0,1,1
2020,AUTOR,VLo,30,49.6,11,0,0,1,0,1,1
2020,AUTOR,VLo,30,49.6,12,0,0,1,0,1,1
2020,AUTOR,VLo,30,49.6,13,0,0,1,0,1,1
2020,AUTOR,VLo,30,49.6,14,0,1,0,0,1,1
2020,AUTOR,VLo,30,49.6,15,0,1,0,0,1,1
2020,AUTOR,VLo,30,49.6,16,0,1,0,0,1,1
2020,AUTOR,VLo,30,49.6,17,0,2,0,0,2,1
2020,AUTOR,Sh,31,3,1,0,0,0,1,1,0
2020,AUTOR,Sh,31,3,2,2,1,0,0,2,1
2020,AUTOR,Sh,31,3,3,2,2,0,0,3,0
2020,AUTOR,Me,32,15.6,1,0,1,0,0,1,0
2020,AUTOR,Me,32,15.6,2,3,1,0,0,2,2
2020,AUTOR,Me,32,15.6,3,3,2,2,0,5,1
2020,AUTOR,Me,32,15.6,4,0,0,1,0,1,1
2020,AUTOR,Me,32,15.6,5,0,0,1,0,1,1
2020,AUTOR,Me,32,15.6,6,0,0,1,0,1,1
2020,AUTOR,Me,32,15.6,7,4,0,1,0,2,1
2020,AUTOR,Sh,33,4,1,0,0,1,0,1,1
2020,AUTOR,Sh,33,4,2,0,1,0,0,1,1
2020,AUTOR,Sh,33,4,3,0,0,1,0,1,1
2020,AUTOR,Me,34,12.2,1,0,0,1,0,1,1
2020,AUTOR,Me,34,12.2,2,0,1,0,0,1,1
2020,AUTOR,Me,34,12.2,3,0,0,1,0,1,1
2020,AUTOR,Me,34,12.2,4,0,0,1,0,1,1
2020,AUTOR,Me,34,12.2,5,3,0,4,0,5,2
2020,AUTOR,Me,34,12.2,6,3,1,3,0,5,2
2020,AUTOR,Sh,35,2,1,0,1,0,0,1,0
2020,AUTOR,Sh,35,2,2,0,0,1,0,1,1
2020,AUTOR,Lo,36,27.6,1,0,0,1,0,1,1
2020,AUTOR,Lo,36,27.6,2,2,0,4,0,5,2
2020,AUTOR,Lo,36,27.6,3,4,3,0,0,4,2
2020,AUTOR,Lo,36,27.6,4,0,0,1,0,1,1
2020,AUTOR,Lo,36,27.6,5,0,0,1,0,1,1
2020,AUTOR,Lo,36,27.6,6,0,0,1,0,1,1
2020,AUTOR,Lo,36,27.6,7,0,0,1,0,1,1
2020,AUTOR,Lo,36,27.6,8,0,0,1,0,1,1
2020,AUTOR,Lo,36,27.6,9,0,0,1,0,1,1
2020,AUTOR,Me,37,18.2,1,0,0,1,0,1,1
2020,AUTOR,Me,37,18.2,2,0,2,0,0,2,1
2020,AUTOR,Me,37,18.2,3,0,0,1,0,1,1
2020,AUTOR,Me,37,18.2,4,0,0,1,0,1,1
2020,AUTOR,Me,37,18.2,5,0,0,1,0,1,1
2020,AUTOR,Me,37,18.2,6,0,0,1,0,1,1
2020,AUTOR,Me,37,18.2,7,0,1,0,0,1,1
2020,AUTOR,Lo,38,36.5,1,0,1,0,0,1,1
2020,AUTOR,Lo,38,36.5,2,0,0,1,0,1,1
2020,AUTOR,Lo,38,36.5,3,0,0,1,0,1,1
2020,AUTOR,Lo,38,36.5,4,2,0,6,0,7,2
2020,AUTOR,Lo,38,36.5,5,0,1,0,0,1,1
2020,AUTOR,Lo,38,36.5,6,0,0,1,0,1,1
2020,AUTOR,Lo,38,36.5,7,0,0,1,0,1,1
2020,AUTOR,Lo,38,36.5,8,0,0,1,0,1,1
2020,AUTOR,Lo,38,36.5,9,0,1,0,0,1,1
2020,AUTOR,Lo,38,36.5,10,0,2,0,0,2,1
2020,AUTOR,Sh,39,1,1,0,0,1,0,1,1
2020,AUTOR,Me,40,18,1,0,1,0,0,1,0
2020,AUTOR,Me,40,18,2,0,0,0,1,1,0
2020,AUTOR,Me,40,18,3,0,0,0,1,1,0
