ID;tesi;Length;Diam;class;shoot;node;c;v;m;cl;nu;b;node.1;c.1;v.1;m.1;cluster;nuts;b.1;numoss;node.2;c.2;v.2;m.2;cluster.1;nuts.1;b.2;numoss;node.3;c.3;v.3;m.3;cluster.2;nuts.2;b.3;numoss;node.4;c.4;v.4;m.4;cluster.3;nuts.3;b.4;numoss;node.5;c.5;v.5;m.5;cluster.4;nuts.4;b.5;numoss;node.6;c.6;v.6;m.6;cluster.5;nuts.5;b.6;numoss;node.7;c.7;v.7;m.7;cluster.6;nuts.6;b.7;numoss;node.8;c.8;v.8;m.8;cluster.7;nuts.7;b.8;numoss;node.9;c.9;v.9;m.9;cluster.8;nuts.8;b.9;numoss;node.10;c.10;v.10;m.10;cluster.9;nuts.9;b.10;numoss;node.11;c.11;v.11;m.11;cluster.10;nuts.10;b.11;numoss;node.12;c.12;v.12;m.12;cluster.11;nuts.11;b.12;numoss;node.13;c.13;v.13;m.13;cluster.12;nuts.12;b.13;numoss;node.14;c.14;v.14;m.14;cluster.13;nuts.13;b.14;numoss;node.15;c.15;v.15;m.15;cluster.14;nuts.14;b.15;numoss;node.16;c.16;v.16;m.16;cluster.15;nuts.15;b.16;numoss;node.17;c.17;v.17;m.17;cluster.16;nuts.16;b.17;numoss;node.18;c.18;v.18;m.18;cluster.17;nuts.17;b.18;numoss;node.19;c.19;v.19;m.19;cluster.18;nuts.18;b.19;numoss;node.20;c.20;v.20;m.20;cluster.19;nuts.19;b.20;numoss;node.21;c.21;v.21;m.21;cluster.20;nuts.20;b.21;numoss;node.22;c.22;v.22;m.22;cluster.21;nuts.21;b.22;numoss;node.23;c.23;v.23;m.23;cluster.22;nuts.22;b.23;numoss
121;AUTOR;42;6.37;VLo;1;13;16;7;11;3;9;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0;1;1;3;0;1;0;0;0;0;1;4;3;0;2;0;0;0;3;5;5;1;0;0;0;0;2;6;4;0;3;1;3;0;4;7;4;1;1;0;0;0;3;8;0;0;1;1;3;0;1;9;0;0;1;0;0;0;1;10;0;0;1;1;3;0;1;11;0;0;1;0;0;0;1;12;0;1;0;0;0;0;1;13;0;2;1;0;0;0;3;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
122;AUTOR;40;6.22;Lo;2;14;14;13;10;6;20;0;1;0;1;0;0;0;0;1;2;0;0;1;1;2;0;1;3;0;1;0;0;0;0;1;4;0;3;0;0;0;0;3;5;3;1;2;1;2;0;4;6;0;1;0;0;0;0;1;7;4;3;2;0;0;0;6;8;0;0;1;1;4;0;1;9;5;1;0;0;0;0;2;10;0;0;1;1;3;0;1;11;2;2;0;0;0;0;3;12;0;0;1;1;4;0;1;13;0;0;1;1;5;0;1;14;0;0;1;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
123;AUTOR;9;3.7;Me;3;6;0;5;3;2;6;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;1;0;0;0;0;1;4;0;0;1;1;2;0;1;5;0;0;1;1;4;0;1;6;0;2;1;0;0;0;3;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
124;AUTOR;48;7.43;VLo;4;17;0;17;2;2;10;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;1;0;0;0;0;1;4;0;1;0;0;0;0;1;5;0;0;1;1;4;0;1;6;0;0;1;1;6;0;1;7;0;1;0;0;0;0;1;8;0;1;0;0;0;0;1;9;0;1;0;0;0;0;1;10;0;1;0;0;0;0;1;11;0;1;0;0;0;0;1;12;0;1;0;0;0;0;1;13;0;1;0;0;0;0;1;14;0;1;0;0;0;0;1;15;0;1;0;0;0;0;1;16;0;1;0;0;0;0;1;17;0;3;0;0;0;0;3;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
125;AUTOR;41;7.17;VLo;5;17;21;16;12;7;19;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;2;0;0;0;0;2;4;0;0;1;1;1;0;1;5;4;2;1;1;3;0;4;6;0;0;1;1;3;0;1;7;4;3;2;0;0;0;6;8;4;0;1;0;0;0;2;9;0;1;1;1;4;0;2;10;0;1;1;1;4;0;2;11;0;0;1;0;0;0;1;12;0;0;1;1;3;0;1;13;4;3;0;0;0;0;4;14;0;0;1;0;0;0;1;15;0;2;0;0;0;0;2;16;5;0;0;0;0;0;1;17;0;0;1;1;1;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
126;AUTOR;14;4.34;Me;6;7;11;4;4;2;5;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0;1;1;3;5;2;0;0;0;0;3;4;3;0;2;0;0;0;3;5;0;0;1;1;3;0;1;6;3;1;0;0;0;0;2;7;0;0;1;1;2;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
127;AUTOR;43;6.41;VLo;7;14;21;10;10;2;11;1;1;0;0;1;0;0;0;1;2;0;0;0;0;0;1;1;3;0;2;0;0;0;0;2;4;7;0;0;0;0;0;1;5;4;0;3;1;5;0;4;6;0;1;1;1;6;0;2;7;5;2;0;0;0;0;3;8;5;1;1;0;0;0;3;9;0;0;1;0;0;0;1;10;0;0;1;0;0;0;1;11;0;0;1;0;0;0;1;12;0;0;1;0;0;0;1;13;0;1;0;0;0;0;1;14;0;3;0;0;0;0;3;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
128;AUTOR;3;2.34;Sh;8;3;2;4;1;0;0;0;1;0;1;0;0;0;0;1;2;0;0;1;0;0;0;1;3;2;3;0;0;0;0;4;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
129;AUTOR;30;5.09;Lo;9;15;13;10;8;5;10;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;0;1;1;2;0;1;4;0;0;1;0;0;0;1;5;4;2;1;1;1;0;4;6;4;1;1;0;0;0;3;7;0;1;0;0;0;0;1;8;0;1;1;1;2;0;2;9;0;0;1;1;3;0;1;10;0;0;1;1;2;0;1;11;0;0;1;0;0;0;1;12;0;1;0;0;0;0;1;13;0;1;0;0;0;0;1;14;5;0;0;0;0;0;1;15;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
130;AUTOR;57;6.8;VLo;10;14;0;7;15;8;17;0;1;0;0;1;1;1;0;1;2;0;1;0;0;0;0;1;3;0;0;1;1;3;0;1;4;0;0;1;1;1;0;1;5;0;4;5;1;1;0;9;6;0;1;0;0;0;0;1;7;0;0;1;1;3;0;1;8;0;0;1;0;0;0;1;9;0;0;1;1;4;0;1;10;0;0;1;0;0;0;1;11;0;0;1;1;2;0;1;12;0;1;0;0;0;0;1;13;0;0;1;1;2;0;1;14;0;0;1;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
131;AUTOR;2.31;2;Sh;11;3;4;3;0;0;0;0;1;0;1;0;0;0;0;1;2;4;1;0;0;0;0;2;3;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
132;AUTOR;48;6.76;VLo;12;15;12;11;14;10;30;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;1;1;1;2;0;2;4;0;0;1;0;0;0;1;5;3;4;1;1;2;0;6;6;4;0;3;1;3;0;4;7;0;0;1;1;2;0;1;8;5;1;1;1;4;0;3;9;0;0;1;0;0;0;1;10;0;1;0;0;0;0;1;11;0;0;1;1;3;0;1;12;0;0;1;1;3;0;1;13;0;0;1;1;4;0;1;14;0;0;1;1;4;0;1;15;0;2;1;1;3;0;3;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
133;AUTOR;37.5;5.88;Lo;13;15;4;11;7;4;12;0;1;0;1;0;0;0;0;1;2;4;1;3;0;0;0;5;3;0;0;1;1;3;0;1;4;0;0;1;1;3;0;1;5;0;0;1;1;2;0;1;6;0;1;0;0;0;0;1;7;0;1;0;0;0;0;1;8;0;1;0;0;0;0;1;9;0;1;0;0;0;0;1;10;0;0;1;1;4;0;1;11;0;1;0;0;0;0;1;12;0;1;0;0;0;0;1;13;0;1;0;0;0;0;1;14;0;1;0;0;0;0;1;15;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
134;AUTOR;45.4;7.68;VLo;14;17;4;8;13;9;24;0;1;0;1;0;0;0;0;1;2;0;0;1;1;1;0;1;3;0;1;0;0;0;0;1;4;4;1;3;1;2;0;5;5;0;0;1;1;2;0;1;6;0;0;1;1;4;0;1;7;0;0;1;1;2;0;1;8;0;0;1;1;3;0;1;9;0;0;1;1;3;0;1;10;0;0;1;1;3;0;1;11;0;0;1;1;4;0;1;12;0;0;1;0;0;0;1;13;0;0;1;0;0;0;1;14;0;1;0;0;0;0;1;15;0;1;0;0;0;0;1;16;0;1;0;0;0;0;1;17;0;2;0;0;0;0;2;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
135;AUTOR;44;6.91;VLo;15;16;9;11;14;9;27;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;1;0;0;0;0;1;4;0;1;1;2;4;0;2;5;2;0;4;1;2;0;5;6;2;1;2;1;3;0;4;7;0;0;1;0;0;0;1;8;5;2;1;1;4;0;4;9;0;0;1;1;3;0;1;10;0;0;1;1;4;0;1;11;0;0;1;1;4;0;1;12;0;0;1;1;3;0;1;13;0;0;1;0;0;0;1;14;0;1;0;0;0;0;1;15;0;1;0;0;0;0;1;16;0;2;0;0;0;0;2;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
136;AUTOR;33;6.4;Lo;16;15;28;13;7;2;5;2;1;0;0;0;0;0;1;1;2;0;0;0;0;0;1;1;3;0;1;0;0;0;0;1;4;0;1;0;0;0;0;1;5;0;1;0;0;0;0;1;6;0;0;1;2;5;0;1;7;4;0;5;0;0;0;6;8;3;2;0;0;0;0;3;9;5;2;0;0;0;0;3;10;1;2;0;0;0;0;3;11;5;2;0;0;0;0;3;12;0;0;1;0;0;0;1;13;5;1;0;0;0;0;2;14;5;0;0;0;0;0;1;15;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
137;AUTOR;21;4.23;Lo;17;8;3;4;7;4;10;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;0;1;1;3;0;1;4;0;0;2;1;2;0;2;5;1;1;2;1;2;0;4;6;0;0;1;1;3;0;1;7;2;1;0;0;0;0;2;8;0;0;1;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
138;AUTOR;8.5;3.69;Me;18;6;7;4;5;4;7;0;1;0;0;1;1;1;0;1;2;0;0;1;1;1;0;1;3;0;1;0;0;0;0;1;4;4;3;0;0;0;0;4;5;3;0;2;0;0;0;3;6;0;0;1;2;5;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
139;AUTOR;38;6.22;Lo;19;15;11;10;12;9;24;2;1;0;1;0;0;0;0;1;2;0;0;0;0;0;1;1;3;0;0;0;0;0;1;1;4;0;0;1;1;3;0;1;5;4;2;1;0;0;0;4;6;0;0;4;2;6;0;4;7;0;1;0;0;0;0;1;8;4;3;0;0;0;0;4;9;0;0;1;1;2;0;1;10;3;1;1;1;3;0;3;11;0;0;1;1;1;0;1;12;0;0;1;1;3;0;1;13;0;0;1;1;1;0;1;14;0;0;1;1;5;0;1;15;0;2;0;0;0;0;2;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
140;AUTOR;38;5.8;Lo;20;14;0;4;10;8;18;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;1;0;0;0;0;1;4;0;0;1;1;2;0;1;5;0;0;1;1;2;0;1;6;0;0;1;1;2;0;1;7;0;0;1;0;0;0;1;8;0;0;1;1;1;0;1;9;0;0;1;1;2;0;1;10;0;0;1;1;3;0;1;11;0;0;1;1;4;0;1;12;0;0;1;1;2;0;1;13;0;0;1;0;0;0;1;14;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
141;AUTOR;11.8;3.7;Me;21;6;7;5;2;2;4;2;1;0;0;0;0;0;1;1;2;0;1;0;0;0;0;1;3;0;0;0;0;0;1;1;4;4;3;0;0;0;0;4;5;3;1;1;1;1;0;3;6;0;0;1;1;3;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
142;AUTOR;2.5;2.1;Sh;22;3;2;1;0;0;0;0;1;0;1;0;0;0;0;1;2;1;0;0;0;0;0;1;3;1;0;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
143;AUTOR;39;5.6;Lo;23;14;4;10;9;8;21;0;1;0;1;0;0;0;0;1;2;0;0;1;1;1;0;1;3;0;0;1;1;3;0;1;4;0;1;1;0;0;0;2;5;4;5;0;0;0;0;6;6;0;0;1;1;2;0;1;7;0;0;1;1;3;0;1;8;0;0;1;1;2;0;1;9;0;1;0;0;0;0;1;10;0;0;1;1;3;0;1;11;0;0;1;1;3;0;1;12;0;1;0;0;0;0;1;13;0;0;1;1;4;0;1;14;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
144;AUTOR;1.5;2;Sh;24;3;0;2;1;1;3;0;1;0;1;0;0;0;0;1;2;0;1;0;0;0;0;1;3;0;0;1;1;3;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
145;AUTOR;41.5;5.46;VLo;25;14;3;6;12;6;14;0;1;0;0;1;0;0;0;1;2;0;0;1;1;2;0;1;3;3;0;3;1;3;0;4;4;0;0;1;1;3;0;1;5;0;0;1;1;1;0;1;6;0;0;1;1;2;0;1;7;0;0;1;0;0;0;1;8;0;1;1;1;3;0;2;9;0;0;1;0;0;0;1;10;0;0;1;0;0;0;1;11;0;1;0;0;0;0;1;12;0;1;0;0;0;0;1;13;0;1;0;0;0;0;1;14;0;2;0;0;0;0;2;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
146;AUTOR;4;2.38;Sh;26;6;2;4;5;3;7;0;1;0;1;0;0;0;0;1;2;0;0;1;1;2;0;1;3;0;2;1;1;1;0;3;4;0;0;2;1;4;0;2;5;2;1;0;0;0;0;2;6;0;0;1;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
147;AUTOR;29.8;5.62;Lo;27;10;15;7;9;6;10;0;1;0;0;1;0;0;0;1;2;1;2;0;0;0;0;3;3;1;0;2;2;2;0;3;4;0;1;3;1;1;0;4;5;0;0;1;1;3;0;1;6;4;1;1;1;2;0;3;7;4;0;1;1;2;0;2;8;5;1;0;0;0;0;2;9;0;1;0;0;0;0;1;10;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
148;AUTOR;4.2;3.22;Sh;28;4;0;3;0;0;0;1;1;0;0;0;0;0;1;1;2;0;1;0;0;0;0;1;3;0;1;0;0;0;0;1;4;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
149;AUTOR;35;5;Lo;29;13;29;13;9;5;11;0;1;0;1;0;0;0;0;1;2;1;0;1;1;2;0;2;3;1;1;1;1;1;0;3;4;0;0;1;1;3;0;1;5;3;1;2;0;0;0;4;6;7;0;1;1;2;0;2;7;4;3;0;0;0;0;4;8;4;1;1;0;0;0;3;9;4;2;1;1;3;0;4;10;4;1;0;0;0;0;2;11;0;0;1;0;0;0;1;12;1;2;0;0;0;0;3;13;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
150;AUTOR;49.6;6.64;VLo;30;17;11;9;11;9;23;1;1;0;1;0;0;0;0;1;2;0;0;0;0;0;1;1;3;0;0;1;1;1;0;1;4;7;0;0;0;0;0;1;5;4;2;3;1;1;0;6;6;0;1;0;0;0;0;1;7;0;0;1;1;3;0;1;8;0;0;1;1;1;0;1;9;0;0;1;1;3;0;1;10;0;0;1;1;3;0;1;11;0;0;1;1;3;0;1;12;0;0;1;1;3;0;1;13;0;0;1;1;5;0;1;14;0;1;0;0;0;0;1;15;0;1;0;0;0;0;1;16;0;1;0;0;0;0;1;17;0;2;0;0;0;0;2;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
151;AUTOR;3;2.63;Sh;31;4;4;3;0;0;0;1;1;0;0;0;0;0;1;1;2;2;1;0;0;0;0;2;3;2;1;0;0;0;0;2;4;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
152;AUTOR;15.6;3.28;Me;32;8;10;4;6;2;5;0;1;0;1;0;0;0;0;1;2;3;1;0;0;0;0;2;3;3;2;2;0;0;0;5;4;0;0;1;0;0;0;1;5;0;0;1;1;2;0;1;6;0;0;1;0;0;0;1;7;4;0;0;0;0;0;1;8;0;0;1;1;3;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
153;AUTOR;4;2.84;Sh;33;3;0;1;2;1;2;0;1;0;0;1;0;0;0;1;2;0;1;0;0;0;0;1;3;0;0;1;1;2;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
154;AUTOR;12.2;4.1;Me;34;7;6;2;10;2;7;0;1;0;0;1;0;0;0;1;2;0;1;0;0;0;0;1;3;0;0;1;1;1;0;1;4;0;0;1;0;0;0;1;5;3;0;4;0;0;0;5;6;3;0;3;1;6;0;4;7;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
155;AUTOR;2;2.42;Sh;35;2;0;1;1;1;1;0;1;0;1;0;0;0;0;1;2;0;0;1;1;1;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
156;AUTOR;27.6;4.84;Lo;36;9;6;3;11;9;24;0;1;0;0;1;1;1;0;1;2;2;0;4;2;4;0;5;3;4;3;0;0;0;0;4;4;0;0;1;1;3;0;1;5;0;0;1;1;3;0;1;6;0;0;1;1;4;0;1;7;0;0;1;1;3;0;1;8;0;0;1;1;3;0;1;9;0;0;1;1;3;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
157;AUTOR;18.2;4.12;Me;37;7;0;3;5;4;10;0;1;0;0;1;0;0;0;1;2;0;2;0;0;0;0;2;3;0;0;1;1;2;0;1;4;0;0;1;1;2;0;1;5;0;0;1;1;2;0;1;6;0;0;1;1;4;0;1;7;0;1;0;0;0;0;1;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0;;;;;;;;0
